hgnc_id	Level2
HGNC:583	Cancer Programme
HGNC:795	Cancer Programme
HGNC:950	Cancer Programme
HGNC:1076	Cancer Programme
HGNC:1100	Cancer Programme
HGNC:1101	Cancer Programme
HGNC:20473	Cancer Programme
HGNC:16783	Cancer Programme
HGNC:1748	Cancer Programme
HGNC:1773	Cancer Programme
HGNC:1785	Cancer Programme
HGNC:1787	Cancer Programme
HGNC:17098	Cancer Programme
HGNC:11529	Cancer Programme
HGNC:3700	Cancer Programme
HGNC:27310	Cancer Programme
HGNC:6342	Cancer Programme
HGNC:6913	Cancer Programme
HGNC:7010	Cancer Programme
HGNC:7029	Cancer Programme
HGNC:7127	Cancer Programme
HGNC:7325	Cancer Programme
HGNC:7329	Cancer Programme
HGNC:7527	Cancer Programme
HGNC:7765	Cancer Programme
HGNC:7773	Cancer Programme
HGNC:8028	Cancer Programme
HGNC:26144	Cancer Programme
HGNC:9122	Cancer Programme
HGNC:9175	Cancer Programme
HGNC:9177	Cancer Programme
HGNC:9585	Cancer Programme
HGNC:9588	Cancer Programme
HGNC:9820	Cancer Programme
HGNC:9823	Cancer Programme
HGNC:9884	Cancer Programme
HGNC:9967	Cancer Programme
HGNC:10680	Cancer Programme
HGNC:26034	Cancer Programme
HGNC:10681	Cancer Programme
HGNC:10682	Cancer Programme
HGNC:10683	Cancer Programme
HGNC:6770	Cancer Programme
HGNC:11100	Cancer Programme
HGNC:11103	Cancer Programme
HGNC:11389	Cancer Programme
HGNC:16466	Cancer Programme
HGNC:26038	Cancer Programme
HGNC:11998	Cancer Programme
HGNC:12362	Cancer Programme
HGNC:12363	Cancer Programme
HGNC:12687	Cancer Programme
HGNC:12796	Cancer Programme
HGNC:358	Tumour syndromes
HGNC:583	Tumour syndromes
HGNC:795	Tumour syndromes
HGNC:950	Tumour syndromes
HGNC:1076	Tumour syndromes
HGNC:1100	Tumour syndromes
HGNC:1101	Tumour syndromes
HGNC:20473	Tumour syndromes
HGNC:16783	Tumour syndromes
HGNC:1748	Tumour syndromes
HGNC:1773	Tumour syndromes
HGNC:1785	Tumour syndromes
HGNC:1787	Tumour syndromes
HGNC:17098	Tumour syndromes
HGNC:11529	Tumour syndromes
HGNC:3512	Tumour syndromes
HGNC:3513	Tumour syndromes
HGNC:3700	Tumour syndromes
HGNC:27310	Tumour syndromes
HGNC:6342	Tumour syndromes
HGNC:6913	Tumour syndromes
HGNC:7010	Tumour syndromes
HGNC:7029	Tumour syndromes
HGNC:7127	Tumour syndromes
HGNC:7325	Tumour syndromes
HGNC:7329	Tumour syndromes
HGNC:7527	Tumour syndromes
HGNC:7765	Tumour syndromes
HGNC:7773	Tumour syndromes
HGNC:8028	Tumour syndromes
HGNC:26144	Tumour syndromes
HGNC:9122	Tumour syndromes
HGNC:9175	Tumour syndromes
HGNC:9177	Tumour syndromes
HGNC:9585	Tumour syndromes
HGNC:9588	Tumour syndromes
HGNC:9820	Tumour syndromes
HGNC:9823	Tumour syndromes
HGNC:9884	Tumour syndromes
HGNC:9967	Tumour syndromes
HGNC:10680	Tumour syndromes
HGNC:26034	Tumour syndromes
HGNC:10681	Tumour syndromes
HGNC:10682	Tumour syndromes
HGNC:10683	Tumour syndromes
HGNC:6770	Tumour syndromes
HGNC:11100	Tumour syndromes
