MGI_ID	HGNC_ID	Window_Category	hpo_genes	moi
MGI:2143628	HGNC:23035	Late-gestation	NA	NA
MGI:105090	HGNC:11051	Late-gestation	hpo_genes	AD-AR
MGI:1202717	HGNC:9508	Late-gestation	hpo_genes	AD
MGI:2385276	HGNC:23297	Late-gestation	NA	NA
MGI:95721	HGNC:4285	Late-gestation	hpo_genes	AD-AR
MGI:104606	HGNC:16519	Late-gestation	NA	NA
MGI:1860188	HGNC:11174	Late-gestation	NA	NA
MGI:1890645	HGNC:13386	Late-gestation	NA	NA
MGI:1921895	HGNC:24712	Late-gestation	NA	NA
MGI:1928750	HGNC:9763	Late-gestation	NA	NA
MGI:1932404	HGNC:15673	Late-gestation	hpo_genes	AD
MGI:2147790	HGNC:23151	Late-gestation	hpo_genes	AR
MGI:2679270	HGNC:23713	Late-gestation	NA	NA
MGI:2679336	HGNC:21637	Late-gestation	hpo_genes	AD
MGI:95751	HGNC:4329	Late-gestation	hpo_genes	AR
MGI:97531	HGNC:8804	Late-gestation	hpo_genes	AD
MGI:98282	HGNC:11241	Late-gestation	NA	NA
MGI:1914596	HGNC:18142	Late-gestation	NA	NA
MGI:3026965	HGNC:23526	Late-gestation	NA	NA
MGI:1351351	HGNC:1514	Late-gestation	hpo_genes	AD-AR
MGI:2144157	HGNC:12621	Late-gestation	NA	NA
MGI:107460	HGNC:2280	Late-gestation	hpo_genes	AR
MGI:107979	HGNC:6321	Late-gestation	NA	NA
MGI:109529	HGNC:9964	Late-gestation	hpo_genes	AD
MGI:1920942	HGNC:25801	Late-gestation	hpo_genes	AR
MGI:2145317	HGNC:25818	Late-gestation	NA	NA
MGI:2652847	HGNC:19027	Late-gestation	hpo_genes	AD
MGI:94869	HGNC:2701	Late-gestation	hpo_genes	AD-AR
MGI:1194993	HGNC:3037	Late-gestation	hpo_genes	AR
MGI:2682307	HGNC:25555	Late-gestation	NA	NA
MGI:88107	HGNC:801	Late-gestation	hpo_genes	AD
MGI:102519	HGNC:2475	Late-gestation	hpo_genes	AD
MGI:109347	HGNC:6724	Late-gestation	NA	NA
MGI:1195985	HGNC:1554	Late-gestation	NA	NA
MGI:1197012	HGNC:303	Late-gestation	hpo_genes	AR
MGI:1276109	HGNC:2032	Late-gestation	hpo_genes	AR
MGI:1309469	HGNC:1513	Late-gestation	hpo_genes	AD-AR
