MGI_ID	homozygosity	viability_by_pup_numbers	E95_outcome_on_.aliveHOMS	E125_outcome_on_.aliveHOMS	E145_outcome_on_.aliveHOMS	E185_outcome_on_.aliveHOMS	Window	E9.5_split	E12.5_split	E14.5.E15.5_split	E18.5_split	Window_Category	HGNC_ID	Avana_mean_045	Avana_mean
MGI:1928849	Homozygous	Lethal	Insufficient numbers to make a call	Subviable	Insufficient numbers to make a call	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:15985	Non-essential	-0.079535161
MGI:105073	Homozygous	Lethal	Insufficient numbers to make a call	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:11945	Non-essential	0.017669963
MGI:108571	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:4043	Non-essential	-0.115200487
MGI:109188	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:19349	Non-essential	-0.0522849
MGI:109242	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:11243	Non-essential	0.014199316
MGI:1914171	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:25512	Essential	-1.124773041
MGI:1915831	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:16998	Non-essential	-0.314739744
MGI:1923483	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:16160	Non-essential	-0.020199128
MGI:2145374	Homozygous	Lethal	no_e95_data	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:15815	Non-essential	-0.223264219
MGI:109169	Homozygous	Lethal	no_e95_data	Viable	Insufficient numbers to make a call	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:3374	Non-essential	0.028204276
MGI:1196251	Homozygous	Lethal	no_e95_data	Viable	Insufficient numbers to make a call	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:26002	Non-essential	-0.241532701
MGI:102851	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:6107	Non-essential	0.014172458
MGI:104696	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:10600	Non-essential	0.010354215
MGI:108429	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:3166	Non-essential	0.017962453
MGI:109564	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:6323	Non-essential	-0.113042464
MGI:1197013	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:20331	Non-essential	-0.04748974
MGI:1261415	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:10817	Non-essential	-0.212323509
MGI:1277122	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:21145	Non-essential	0.014342538
MGI:1890602	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:13291	Non-essential	0.043081741
MGI:1914674	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:13879	Essential	-0.52984587
MGI:1914797	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:20862	Non-essential	-0.035436356
MGI:1915822	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:5359	Non-essential	-0.258557
MGI:1916804	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:20231	Non-essential	0.077038609
MGI:1918843	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:6629	Non-essential	-0.019648002
MGI:1919019	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:26291	Non-essential	0.076894886
MGI:1924140	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:14014	Non-essential	-0.302490588
MGI:2151064	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:15720	Non-essential	-0.234674497
MGI:2387609	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:17735	Non-essential	-0.052743834
MGI:2444993	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:25642	Non-essential	0.059840459
MGI:88137	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:987	Non-essential	-0.129647657
MGI:97168	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:7391	Non-essential	0.063775245
MGI:97515	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:8747	Non-essential	0.005815508
MGI:97520	Homozygous	Lethal	no_e95_data	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:8636	Essential	-0.50580678
MGI:1926790	Homozygous	Lethal	Viable	Subviable	Insufficient numbers to make a call	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:24824	Non-essential	-0.199207366
MGI:1927222	Homozygous	Lethal	Viable	Subviable	no_e145_data	Insufficient numbers to make a call	After E12.5	After E9.5	After E12.5			-	HGNC:15480	Non-essential	-0.23362342
MGI:105070	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:11946	Non-essential	0.049861121
MGI:109324	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:3573	Non-essential	-0.20737692
MGI:1289288	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:30224	Non-essential	-0.195519171
MGI:1344361	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:690	Non-essential	0.055853449
MGI:1913371	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:23518	Essential	-0.716821175
MGI:1915138	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:25607	Non-essential	0.132447966
MGI:1931029	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:24876	Non-essential	0.024842506
MGI:2158394	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:17556	Non-essential	-0.158197998
MGI:2667185	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:31104	Non-essential	-0.288480873
MGI:87874	Homozygous	Lethal	Viable	Subviable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:2707	Non-essential	-0.153830525
MGI:1919891	Homozygous	Lethal	Viable	Viable	Insufficient numbers to make a call	Insufficient numbers to make a call	After E12.5	After E9.5	After E12.5			-	HGNC:24904	Non-essential	-0.108282612
MGI:1329045	Homozygous	Lethal	Viable	Viable	no_e145_data	no_e185_data	After E12.5	After E9.5	After E12.5			-	HGNC:12425	Non-essential	0.128469764
MGI:2143628	Homozygous	Lethal	Insufficient numbers to make a call	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23035	Non-essential	0.185938506
MGI:105090	Homozygous	Lethal	Insufficient numbers to make a call	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:11051	Non-essential	0.001297749
MGI:1202717	Homozygous	Lethal	Insufficient numbers to make a call	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9508	Non-essential	-0.09780319
MGI:2385276	Homozygous	Lethal	no_e95_data	no_e125_data	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23297	Non-essential	-0.011271321
MGI:95721	Homozygous	Lethal	no_e95_data	no_e125_data	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:4285	Non-essential	-0.08714335
MGI:104606	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:16519	Non-essential	-0.063069738
MGI:1860188	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:11174	Non-essential	0.00860489
MGI:1890645	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:13386	Non-essential	-0.058942147
MGI:1921895	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:24712	Non-essential	0.102430625
MGI:1928750	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9763	Non-essential	0.005220298
MGI:1932404	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:15673	Non-essential	-0.134986072
MGI:2147790	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23151	Non-essential	-0.101612102
MGI:2679270	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23713	Non-essential	0.023425272
MGI:2679336	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:21637	Non-essential	-0.110979819
MGI:95751	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:4329	Non-essential	-0.003390859
MGI:97531	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:8804	Non-essential	-0.090386421
MGI:98282	Homozygous	Lethal	no_e95_data	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:11241	Non-essential	-0.095365452
MGI:1914596	Homozygous	Lethal	no_e95_data	Subviable	Subviable	Insufficient numbers to make a call	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:18142	Non-essential	0.12132406
